Player▲,Pos,AV,From,To
Brady Quinn\QuinBr00,QB,2,2007,2012
Brandon Allen\AlleBr00,QB,2,2019,2019
Brandon Weeden\WeedBr00,QB,15,2012,2018
Brendan Folmar\FolmBr20,QB,0,1987,1987
Brent Pease\PeasBr00,QB,3,1987,1988
Brett Basanez\BasaBr00,QB,0,2006,2006
Brett Favre+\FavrBr00,QB,255,1991,2010
Brett Hundley\HundBr00,QB,5,2016,2019
Brian Brohm\BrohBr00,QB,0,2009,2010
Brian Dowling\DowlBr00,QB,1,1972,1977
Brian Griese\GrieBr00,QB,61,1998,2008
Brian Hoyer\HoyeBr00,QB,25,2009,2019
Brian McClure\McClBr20,QB,1,1987,1987
Brian Sipe\SipeBr00,QB,88,1974,1983
Brian St. Pierre\St.PBr20,QB,0,2004,2010
Brock Berlin\BerlBr00,QB,0,2007,2008
Brock Huard\HuarBr00,QB,2,2000,2003
Brock Osweiler\OsweBr00,QB,15,2012,2018
Brodie Croyle\CroyBr00,QB,2,2006,2010
Brooks Bollinger\BollBr00,QB,6,2004,2008
Browning Nagle\NaglBr00,QB,5,1991,1996
Bruce Gradkowski\GradBr00,QB,8,2006,2014
Bruce Hardy\HardBr00,TE-WR-QB,25,1978,1989
Bruce Lemmerman\LemmBr00,QB,2,1968,1969
Bruce Mathison\MathBr00,QB,6,1983,1987
Bruce Threadgill\ThreBr20,DB-QB,3,1978,1978
Bryan Clark\ClarBr22,QB,0,1984,1984
Bryce Petty\PettBr01,QB,4,2016,2017
Bubby Brister\BrisBu00,QB,44,1986,2000
Buckets Hirsch\HirsBu20,QB-FB,,1947,1949
Bucky Richardson\RichBu00,QB,4,1992,1994
Bud Schwenk\SchwBu20,QB-TB-HB,,1942,1948
Buddy Humphrey\HumpBu00,QB,3,1959,1966
Butch Simas\SimaBu20,BB-QB,,1932,1933
Butch Songin\SongBu00,QB,18,1960,1962
Byron Leftwich\LeftBy00,QB,36,2003,2012
C.J. Beathard\BeatC.00,QB,7,2017,2018
Cade McNown\McNoCa00,QB,7,1999,2000
Caleb Hanie\HaniCa00,QB,2,2009,2012
Cam Newton\NewtCa00,QB,123,2011,2019
Cardale Jones\JoneCa01,QB,0,2016,2016
Carl Summerell\SummCa00,QB,0,1974,1975
Carlos Brown\BrowCa00,QB,2,1975,1976
Carson Palmer\PalmCa00,QB,142,2004,2017
Carson Wentz\WentCa00,QB,45,2016,2019
Cary Conklin\ConkCa00,QB,1,1992,1995
Case Keenum\KeenCa00,QB,37,2012,2019
Casey Weldon\WeldCa00,QB,1,1993,1999
Chad Henne\HennCh01,QB,29,2008,2018
Chad Hutchinson\HutcCh00,QB,4,2002,2004
Chad Kelly\KellCh00,QB,0,2018,2018
Chad Pennington\PennCh01,QB,62,2000,2010
Chandler Harnish\HarnCh00,QB,0,2012,2014
Charley Eikenberg\EikeCh20,QB,,1948,1948
Charley Johnson\JohnCh02,QB,100,1961,1975
Charley Sarratt\SarrCh20,QB,,1948,1948
Charlie Batch\BatcCh00,QB,37,1998,2012
Charlie Brackins\BracCh20,QB,,1955,1955
Charlie Conerly\ConeCh00,QB,6,1948,1961
Charlie Frye\FryeCh00,QB,8,2005,2009
Charlie Green\GreeCh00,QB,0,1966,1966
Charlie Mathys\MathCh20,BB-QB,,1921,1926
Charlie Milstead\MilsCh20,QB-DB,0,1960,1961
Charlie O'Rourke\ORouCh20,QB,,1942,1949
Charlie Seabright\SeabCh20,BB-QB,,1941,1950
Charlie Whitehurst\WhitCh02,QB,7,2006,2016
Chase Daniel\DaniCh00,QB,5,2010,2019
Chon Gallegos\GallCh00,QB,1,1962,1962
Chris Chandler\ChanCh00,QB,102,1988,2004
Chris Greisen\GreiCh00,QB,0,1999,2000
Chris Miller\MillCh00,QB,60,1987,1999
Chris Redman\RedmCh00,QB,10,2000,2011
Chris Simms\SimmCh00,QB,8,2004,2009
Chris Weinke\WeinCh00,QB,9,2001,2007
Christian Ponder\PondCh00,QB,23,2011,2014
Chuck Clements\ClemCh21,QB,0,1997,1997
Chuck Fusina\FusiCh00,QB,0,1979,1986
Chuck Long\LongCh00,QB,11,1986,1991
Cleo Lemon\LemoCl00,QB,6,2005,2008
Cliff Lewis\LewiCl20,DB-QB,,1946,1951
Cliff Olander\OlanCl00,QB,1,1977,1979
Cliff Stoudt\StouCl00,QB,17,1980,1989
Clint Longley\LongCl00,QB,2,1974,1976
Clint Stoerner\StoeCl00,QB,1,2000,2001
Clyde LeForce\LeFoCl20,QB,,1947,1949
Cody Carlson\CarlCo00,QB,16,1988,1994
Cody Kessler\KessCo00,QB,5,2016,2018
Cody Pickett\PickCo00,QB,1,2004,2005
Coley McDonough\McDoCo20,TB-QB,,1939,1944
Colin Kaepernick\KaepCo00,QB,49,2011,2016
Colt McCoy\McCoCo00,QB,14,2010,2019
Connor Cook\CookCo00,QB,0,2016,2016
Connor Shaw\ShawCo00,QB,0,2014,2014
Cooper Rush\RushCo00,QB,0,2017,2019
Cory Sauter\SautCo00,QB,0,2002,2002
Cotton Davidson\DaviCo00,QB,45,1954,1968
Cotton Price\PricCo20,TB-DB-QB,,1940,1946
Craig Bradshaw\BradCr20,QB,0,1980,1980
Craig Erickson\EricCr00,QB,22,1992,1997
Craig Krenzel\KrenCr00,QB,1,2004,2004
Craig Kupp\KuppCr20,QB,0,1991,1991
Craig Morton\MortCr00,QB,115,1965,1982
Craig Nall\NallCr00,QB,1,2003,2007
Craig Penrose\PenrCr00,QB,3,1976,1979
Craig Whelihan\WhelCr00,QB,1,1997,1998
Curtis Painter\PainCu00,QB,2,2009,2013
Dak Prescott\PresDa01,QB,60,2016,2019
Dameyune Craig\CraiDa00,QB,0,2000,2001
Damon Huard\HuarDa00,QB,20,1998,2008
Dan Darragh\DarrDa00,QB,-2,1968,1970
Dan Fouts+\FoutDa00,QB,162,1973,1987
Dan Henning\HennDa00,QB,0,1966,1966
Dan Manucci\ManuDa20,QB,0,1979,1987
Dan Marino+\MariDa00,QB,216,1983,1999
Dan McGwire\McGwDa00,QB,2,1991,1995
Dan Orlovsky\OrloDa00,QB,7,2005,2015
Dan Pastorini\PastDa00,QB,70,1971,1983
Daniel Jones\JoneDa05,QB,9,2019,2019
Danny Kanell\KaneDa00,QB,14,1996,2003
Danny White\WhitDa01,QB-P,102,1976,1988
Danny Wuerffel\WuerDa00,QB,6,1997,2002
Daryle Lamonica\LamoDa00,QB,90,1963,1974
Daunte Culpepper\CulpDa00,QB,97,1999,2009
Dave Barr\BarrDa20,QB,0,1995,1995
Dave Brown\BrowDa00,QB,29,1992,2001
Dave Krieg\KrieDa00,QB,138,1980,1998
Dave Leggett\LeggDa20,QB-DB,,1955,1955
Dave Lewis\LewiDa22,QB-P,14,1970,1973
Dave Mays\MaysDa00,QB,5,1976,1978
Dave Ragone\RagoDa00,QB,1,2003,2003
Dave Walter\WaltDa20,QB,1,1987,1987
Dave Wilson\WilsDa00,QB,17,1981,1988
Davey O'Brien\OBriDa21,QB-TB,,1939,1940
David Archer\ArchDa00,QB,14,1984,1989
David Blough\BlouDa00,QB,-1,2019,2019
David Carr\CarrDa00,QB,48,2002,2012
David Fales\FaleDa00,QB,1,2014,2019
David Garrard\GarrDa00,QB,69,2002,2010
David Humm\HummDa00,QB,2,1975,1984
David Jaynes\JaynDa00,QB,0,1974,1974
David Klingler\KlinDa00,QB,11,1992,1997
David Norrie\NorrDa20,QB,1,1987,1987
David Whitehurst\WhitDa02,QB,21,1977,1983
David Woodley\WoodDa00,QB,37,1980,1985
Dean Carlson\CarlDe00,QB,0,1974,1974
Dean Look\LookDe00,QB,0,1962,1962
Dean May\MayxDe20,QB,0,1984,1987
Dennis Claridge\ClarDe02,QB,2,1965,1966
Dennis Dixon\DixoDe00,QB,2,2008,2014
Dennis Morrison\MorrDe00,QB,1,1974,1974
Dennis Shaw\ShawDe00,QB,20,1970,1975
Dennis Sproul\SproDe20,QB,0,1978,1978
Derek Anderson\AndeDe00,QB,22,2006,2018
Derek Carr\CarrDe02,QB,61,2014,2019
Deshaun Watson\WatsDe00,QB,39,2017,2019
DeShone Kizer\KizeDe00,QB,6,2017,2018
Devlin Hodges\HodgDe00,QB,0,2019,2019
Dewey Warren\WarrDe00,QB,2,1968,1968
Dick Flowers\FlowDi20,QB,,1953,1953
Dick Horn\HornDi20,QB,,1958,1958
Dick Jamieson\JamiDi00,QB,2,1960,1961
Dick Norman\NormDi20,QB,0,1961,1961
Dick Shiner\ShinDi00,QB,18,1964,1974
Dick Wood\WoodDi00,QB,18,1962,1966
Dieter Brock\BrocDi00,QB,9,1985,1985
Dominique Davis\DaviDo02,QB,0,2012,2014
Don Allard\AllaDo20,QB,0,1961,1962
Don Breaux\BreaDo00,QB,4,1963,1965
Don Gault\GaulDo00,QB,0,1970,1970
Don Heinrich\HeinDo00,QB,1,1954,1962
Don Horn\HornDo00,QB,11,1967,1974
Don Klosterman\KlosDo20,QB,,1952,1952
Don Majkowski\MajkDo00,QB,43,1987,1996
Don Meredith\MereDo00,QB,83,1960,1968
Don Milan\MilaDo00,QB,1,1975,1975
Don Panciera\PancDo20,QB-DB,,1949,1952
Don Strock\StroDo00,QB,21,1974,1988
Don Trull\TrulDo00,QB,18,1964,1969
Donald Hollas\HollDo00,QB,5,1991,1998
Donovan McNabb\McNaDo00,QB,138,1999,2011
Doug Flutie\FlutDo00,QB,58,1986,2005
Doug Gaynor\GaynDo20,QB,0,1986,1986
Doug Hudson\HudsDo20,QB,0,1987,1987
Doug Johnson\JohnDo00,QB,8,2000,2004
Doug Nussmeier\NussDo00,QB,2,1996,1997
Doug Pederson\PedeDo00,QB,1,1993,2004
Doug Williams\WillDo01,QB,63,1978,1989
Drew Bledsoe\BledDr00,QB,137,1993,2006
Drew Brees\BreeDr00,QB,267,2001,2019
Drew Henson\HensDr00,QB,0,2004,2008
Drew Lock\LockDr00,QB,3,2019,2019
Drew Stanton\StanDr00,QB,10,2008,2017
Dustin Vaughan\VaugDu00,QB,,2014,2014
Dwayne Haskins\HaskDw00,QB,3,2019,2019
Eagle Day\DayxEa00,QB,3,1959,1960
Earl Morrall\MorrEa00,QB,86,1956,1976
Eber Simpson\SimpEb20,BB-QB,,1923,1923
Ed Baker\BakeEd00,QB,0,1972,1972
Ed Blount\BlouEd20,QB,0,1987,1987
Ed Brown\BrowEd01,QB,40,1954,1965
Ed Burns\BurnEd20,QB,0,1979,1980
Ed Chlebek\ChleEd00,QB,0,1963,1963
Ed Luther\LuthEd00,QB,7,1980,1984
Ed Mioduszewski\MiodEd20,QB-DB,,1953,1953
Ed Rubbert\RubbEd20,QB,2,1987,1987
Ed Rutkowski\RutkEd00,QB-HB-SE-WR,15,1963,1968
Ed Salem\SaleEd20,DB-QB,,1951,1951
Edd Hargett\HargEd00,QB,12,1969,1973
Eddie LeBaron\LeBaEd00,QB,21,1952,1963
Eddie Wilson\WilsEd00,QB-P,3,1962,1965
EJ Manuel\ManuEJ00,QB,11,2013,2017
Eli Manning\MannEl00,QB,165,2004,2019
Elvis Grbac\GrbaEl00,QB,51,1994,2001
Emery Nix\NixxEm20,TB-QB,,1943,1946
Eric Hipple\HippEr00,QB,41,1980,1989
Eric Kresser\KresEr00,QB,0,1998,1998
Eric Zeier\ZeieEr00,QB,6,1995,2000
Erik Kramer\KramEr00,QB,46,1987,1999
Erik Wilhelm\WilhEr00,QB,3,1989,1996
Ermal Allen\AlleEr20,QB-DB,,1947,1947
Ernie Case\CaseEr20,QB-DB,,1947,1947
Foster Watkins\WatkFo20,QB-HB,,1940,1941
Fran Tarkenton+\TarkFr00,QB,236,1961,1978
Frank Patrick\PatrFr00,QB,0,1970,1972
Frank Reich\ReicFr00,QB,17,1985,1998
Frank Ryan\RyanFr00,QB,90,1958,1970
Frank Santora\SantFr20,QB,,1944,1944
Frank Seurer\SeurFr00,QB,1,1986,1987
Frank Tripucka\TripFr00,QB,20,1949,1963
Frankie Albert\AlbeFr00,QB-DB,,1946,1952
Fred Benners\BennFr00,QB,,1952,1952
Fred Enke\EnkeFr20,QB,,1948,1954
Fred Wyant\WyanFr20,QB,,1956,1956
G.J. Kinne\KinnG.00,QB,,2014,2014
Gale Gilbert\GilbGa00,QB,5,1985,1995
Galen Hall\HallGa00,QB,3,1962,1963
Gardner Minshew\MinsGa00,QB,10,2019,2019
Garrett Gilbert\GilbGa01,QB,0,2014,2019
Garrett Grayson\GrayGa00,QB,0,2015,2015
Gary Beban\BebaGa00,QB,0,1968,1969
Gary Cuozzo\CuozGa00,QB,29,1963,1972
Gary Danielson\DaniGa00,QB,55,1976,1988
Gary Hogeboom\HogeGa00,QB,25,1980,1989
Gary Huff\HuffGa00,QB,11,1973,1978
Gary Keithley\KeitGa00,QB,3,1973,1973
Gary Kerkorian\KerkGa20,QB,,1952,1956
Gary Kubiak\KubiGa00,QB,8,1983,1991
Gary Lane\LaneGa00,QB,1,1966,1968
Gary Marangi\MaraGa00,QB,3,1974,1976
Gary Wood\WoodGa00,QB,10,1964,1969
Geno Smith\SmitGe00,QB,16,2013,2018
George Blanda+\BlanGe00,QB,126,1949,1975
George Herring\HerrGe00,QB-P,0,1960,1961
George Izo\IzoxGe00,QB,6,1960,1966
George Mira\MiraGe00,QB,11,1964,1971
George Munns\MunnGe20,QB-TB,,1921,1921
George Ratterman\RattGe00,QB,,1947,1956
George Shaw\ShawGe00,QB,4,1955,1962
George Terlep\TerlGe20,QB-DB,,1946,1948
George Wilson\WilsGe00,QB,5,1966,1966
Gibran Hamdan\HamdGi00,QB,0,2003,2003
Gifford Nielsen\NielGi00,QB,11,1978,1983
Gil Johnson\JohnGi20,QB,,1949,1949
Gino Torretta\ToreGi00,QB,0,1993,1996
Glenn Carano\CaraGl00,QB,1,1978,1983
Glenn Dobbs\DobbGl20,TB-QB,,1946,1949
Glenn Foley\FoleGl00,QB,8,1994,1999
Glynn Griffing\GrifGl00,QB,2,1963,1963
Graham Harrell\HarrGr00,QB,0,2012,2012
Grassy Hinton\HintGr20,TB-QB,,1932,1932
Greg Barton\BartGr20,QB,0,1969,1969
Greg Cook\CookGr00,QB,10,1969,1973
Greg Knafelc\KnafGr20,QB,0,1983,1983
Greg Landry\LandGr00,QB,96,1968,1984
Greg McElroy\McElGr00,QB,1,2012,2012
Gus Frerotte\FrerGu00,QB,65,1994,2008
Guy Benjamin\BenjGu00,QB,1,1978,1983
Hal Ledyard\LedyHa20,QB,,1953,1953
Harlan Carr\CarrHa20,WB-QB,,1927,1927
Harold Stephens\StepHa00,QB,1,1962,1962
Harry Gilmer\GilmHa00,QB-HB,,1948,1956
Harry Theofiledes\TheoHa00,QB,1,1968,1968
Harvey White\WhitHa00,QB-E,0,1960,1960
Heath Shuler\ShulHe00,QB,6,1994,1997
Henry Burris\BurrHe00,QB,1,2002,2002
Henry Schichtle\SchiHe20,QB,0,1964,1964
Herb Kempton\KempHe20,BB-QB,,1921,1921
Herm Schneidman\SchnHe20,BB-QB,,1935,1940
Hugh Millen\MillHu00,QB,17,1987,1995
Hunter Enis\EnisHu00,QB,4,1960,1962
Ingle Martin\MartIn00,QB,0,2006,2006
Irv Kupcinet\KupcIr20,QB,,1935,1935
J.J. Jones\JoneJ.00,QB,1,1975,1975
J.P. Losman\LosmJ.00,QB,20,2004,2011
J.T. O'Sullivan\OSulJ.00,QB,6,2004,2009
Jack Concannon\ConcJa00,QB,29,1964,1975
Jack Del Bello\DelBJa20,QB,,1953,1953
Jack Jacobs\JacoJa20,QB-TB-HB,,1942,1949
Jack Kemp\KempJa00,QB,83,1957,1969
Jack Scarbath\ScarJa20,QB,,1953,1956
Jack Thompson\ThomJa00,QB,14,1979,1984
Jack Trudeau\TrudJa00,QB,25,1986,1995
Jacky Lee\LeexJa00,QB,19,1960,1969
Jacoby Brissett\BrisJa00,QB,24,2016,2019
Jake Delhomme\DelhJa00,QB,67,1999,2011
Jake Locker\LockJa00,QB,16,2011,2014
Jake Plummer\PlumJa00,QB,92,1997,2006
Jake Rudock\RudoJa00,QB,0,2017,2017
JaMarcus Russell\RussJa00,QB,6,2007,2009
Jameis Winston\WinsJa00,QB,59,2015,2019
James Finnegan\FinnJa21,E-QB,,1923,1923
James Harris\HarrJa01,QB,42,1969,1979
James Ritchey\RitcJa20,QB,0,1997,1997
Jamie Martin\MartJa00,QB,9,1996,2007
Jared Goff\GoffJa00,QB,43,2016,2019
Jared Lorenzen\LoreJa00,QB,0,2006,2007
Jarious Jackson\JackJa01,QB,0,2000,2003
Jarrett Stidham\StidJa00,QB,0,2019,2019
Jason Campbell\CampJa00,QB,53,2006,2014
Jason Garrett\GarrJa00,QB,7,1993,2000
Jay Cutler\CutlJa00,QB,109,2006,2017
Jay Fiedler\FiedJa00,QB,42,1995,2005
Jay Schroeder\SchrJa00,QB,73,1985,1994
Jay Walker\WalkJa22,QB,0,1996,1997
Jeb Blount\BlouJe00,QB,1,1977,1977
Jeff Blake\BlakJe00,QB,78,1992,2005
Jeff Brohm\BrohJe00,QB,2,1996,1997
Jeff Carlson\CarlJe00,QB,2,1990,1992
Jeff Christensen\ChriJe20,QB,2,1983,1987
Jeff Driskel\DrisJe00,QB,5,2018,2019
Jeff Francis\FranJe20,QB,0,1990,1990
Jeff Garcia\GarcJe00,QB,104,1999,2009
Jeff George\GeorJe00,QB,78,1990,2001
Jeff Hostetler\HostJe00,QB,65,1985,1997
Jeff Kemp\KempJe00,QB,22,1981,1991
Jeff Knapple\KnapJe20,QB,0,1980,1980
Jeff Komlo\KomlJe00,QB,5,1979,1983
Jeff Lewis\LewiJe01,QB,2,1996,2000
Jeff Rowe\RoweJe00,QB,0,2007,2007
Jeff Rutledge\RutlJe00,QB,8,1979,1992
Jeff Tuel\TuelJe00,QB,1,2013,2014
Jeff Van Raaphorst\VanRJe20,QB,0,1987,1987
Jerry Golsteyn\GolsJe00,QB,2,1977,1983
Jerry Niles\NileJe20,QB,,1947,1947
Jerry Reichow\ReicJe00,E-QB,23,1956,1964
Jerry Rhome\RhomJe00,QB,6,1965,1971
Jerry Tagge\TaggJe00,QB,8,1972,1974
Jesse Freitas\FreiJe00,QB,5,1974,1975
Jesse Freitas\FreiJe20,QB,,1946,1949
Jesse Palmer\PalmJe00,QB,1,2002,2003
Jim Bob Taylor\TaylJi20,QB,0,1983,1983
Jim Camp\CampJi20,QB,,1948,1948
Jim Capuzzi\CapuJi20,DB-QB,,1955,1956
Jim Crocicchia\CrocJi20,QB,0,1987,1987
Jim Del Gaizo\DelGJi00,QB,3,1972,1974
Jim Druckenmiller\DrucJi00,QB,1,1997,1998
Jim Everett\EverJi00,QB,108,1986,1997
Jim Finks+\FinkJi00,QB-DB-TB,,1949,1955
Jim Gaffney\GaffJi20,QB-HB,,1945,1946
Jim Haluska\HaluJi20,QB,,1956,1956
Jim Harbaugh\HarbJi00,QB,101,1987,2000
Jim Hardy\HardJi00,QB-DB,,1946,1952
Jim Hart\HartJi00,QB,136,1966,1984
Jim Jensen\JensJi00,WR-QB,22,1981,1992
Jim Kelly+\KellJi00,QB,132,1986,1996
Jim LeClair\LeClJi00,QB,2,1967,1968
Jim McMahon\McMaJi00,QB,71,1982,1996
Jim Miller\MillJi00,QB,17,1995,2002
Jim Ninowski\NinoJi00,QB,30,1958,1969
Jim Plunkett\PlunJi00,QB,109,1971,1986
Jim Powers\PoweJi20,DB-LB-QB,,1950,1953
Jim Root\RootJi20,QB,,1953,1956
Jim Sorgi\SorgJi00,QB,5,2004,2009
Jim Ward\WardJi00,QB,1,1967,1971
Jim Youel\YoueJi20,QB-DB,,1946,1948
Jim Zorn\ZornJi00,QB,88,1976,1987
Jimmy Clausen\ClauJi00,QB,3,2010,2015
Jimmy Garoppolo\GaroJi00,QB,25,2014,2019
Jimmy Jemail\JemaJi20,QB,,1921,1921
Jimmy Tarrant\TarrJi21,QB,,1946,1946
Joe Barnes\BarnJo01,QB,0,1974,1974
Joe Callahan\CallJo00,QB,0,2017,2017
Joe DiVito\DiviJo00,QB-P,-1,1968,1968
Joe Dufek\DufeJo00,QB,-1,1983,1984
Joe Ferguson\FergJo00,QB,106,1973,1990
Joe Flacco\FlacJo00,QB,118,2008,2019
Joe Francis\FranJo20,QB-HB,,1958,1959
Joe Gasparella\GaspJo20,BB-QB,,1948,1951
Joe Germaine\GermJo00,QB,1,1999,1999
Joe Gilliam\GillJo00,QB,10,1972,1975
Joe Hamilton\HamiJo20,QB,0,2000,2000
Joe Kapp\KappJo00,QB,24,1967,1970
Joe Margucci\MargJo20,HB-QB,,1947,1948
Joe Montana+\MontJo01,QB,164,1979,1994
Joe Namath+\NamaJo00,QB,115,1965,1977
