Player,Pos,AV,From,To
Barry Redden\ReddBa00,RB,16,1982,1990
Barry Sanders+\SandBa00,RB,150,1989,1998
Barry Word\WordBa00,RB,26,1987,1994
Barty Smith\SmitBa00,RB,22,1974,1980
Basil Mitchell\MitcBa00,RB,2,1999,2000
Beanie Wells\WellCh00,RB,15,2009,2012
Ben Garry\GarrBe20,RB,0,1979,1980
Ben Gay\GayxBe00,RB,1,2001,2001
Ben Gregory\GregBe00,RB,2,1968,1968
Ben Malena\MaleBe00,RB,,2014,2014
Ben Norman\NormBe20,RB,0,1980,1980
Ben Tate\TateBe00,RB,15,2011,2014
BenJarvus Green-Ellis\GreeBe00,RB,34,2008,2013
Benny Cunningham\CunnBe01,RB,12,2013,2018
Benny Malone\MaloBe00,RB,34,1974,1979
Beno Bryant\BryaBe20,RB,0,1994,1994
Bernard Pierce\PierBe00,RB,10,2012,2015
Bernard Scott\ScotBe00,RB,9,2009,2013
Bernie Parmalee\ParmBe00,RB,29,1992,2000
Bert Piggott\PiggBe20,RB,,1947,1947
Bilal Powell\PoweBi00,RB,30,2011,2019
Bill Brown\BrowBi00,RB,90,1961,1974
Bill Butler\ButlBi00,RB,7,1972,1974
Bill Dusenbery\DuseBi00,RB,0,1970,1970
Bill Johnson\JohnBi00,RB,4,1985,1987
Bill Jones\JoneBi00,RB,3,1990,1992
Bill Olds\OldsBi00,RB,13,1973,1976
Bill Ring\RingBi00,RB,10,1981,1986
Bill Thomas\ThomBi00,RB,0,1972,1974
Bill Tucker\TuckBi00,RB,9,1967,1971
Billy Campfield\CampBi00,RB,17,1978,1983
Billy Harris\HarrBi00,RB,2,1968,1971
Billy Jackson\JackBi00,RB,14,1981,1984
Billy Joe\JoexBi00,RB,21,1963,1969
Billy Latsko\LatsBi00,RB,0,2010,2010
Billy Pritchett\PritBi00,RB,3,1975,1977
Billy Sims\SimsBi00,RB,63,1980,1984
Billy Taylor\TaylBi00,RB,15,1978,1982
Bishop Sankey\SankBi00,RB,6,2014,2015
Blair Thomas\ThomBl00,RB,22,1990,1995
Blake Ezor\EzorBl20,RB,1,1990,1990
Bo Hickey\HickBo00,RB,3,1967,1967
Bo Jackson\JackBo00,RB,24,1987,1990
Bo Matthews\MattBo00,RB,15,1974,1981
Bo Scarbrough\ScarBo01,RB,2,2019,2019
Bo Scott\ScotBo01,RB,30,1969,1974
Bob Brunet\BrunBo00,RB,5,1968,1977
Bob Cappadona\CappBo00,RB,5,1966,1968
Bob Christian\ChriBo00,RB,25,1992,2002
Bob Ferrell\FerrBo00,RB,6,1976,1980
Bob Gladieux\GladBo00,RB,4,1969,1972
Bob Gresham\GresBo00,RB,19,1971,1976
Bob Hudson\HudsBo00,RB,1,1972,1974
Bob Hunt\HuntBo20,RB,0,1974,1974
Bob McCall\McCaBo00,RB,0,1973,1973
Bob Perryman\PerrBo00,RB,13,1987,1992
Bob Thomas\ThomBo01,RB,6,1971,1974
Bob Torrey\TorrBo00,RB,1,1979,1980
Bobby Anderson\AndeBo00,RB,21,1970,1975
Bobby Batton\BattBo20,RB,0,1980,1980
Bobby Burnett\BurnBo01,RB,12,1966,1969
Bobby Duhon\DuhoBo00,RB,18,1968,1972
Bobby Hammond\HammBo00,RB,15,1976,1980
Bobby Howard\HowaBo00,RB,3,1986,1988
Bobby Humphrey\HumpBo00,RB,28,1989,1992
Bobby Joe Edmonds\EdmoBo00,RB,1,1986,1995
Bobby Morse\MorsBo00,RB,1,1987,1991
Bobby Phillips\PhilBo20,RB,0,1995,1995
Bobby Rainey\RainBo00,RB,11,2012,2017
Bobby Thompson\ThomBo00,RB,4,1975,1976
Boobie Clark\ClarBo00,RB,42,1973,1980
Booker Moore\MoorBo00,RB,6,1982,1985
Booker Russell\RussBo00,RB,3,1978,1981
Boston Scott\ScotBo02,RB,3,2018,2019
Boyce Green\GreeBo00,RB,15,1983,1987
Brad Baxter\BaxtBr00,RB,23,1989,1995
Brad Davis\DaviBr20,RB,0,1975,1976
Brad Hubbert\HubbBr00,RB,14,1967,1970
Brad Muster\MustBr00,RB,35,1988,1994
Bralon Addison\AddiBr01,RB,0,2016,2016
Branden Oliver\OlivBr01,RB,8,2014,2017
Brandon Bennett\BennBr00,RB,14,1998,2004
Brandon Bolden\BoldBr00,RB,12,2012,2019
Brandon Burks\BurkBr00,RB,0,2016,2016
Brandon Jackson\JackBr00,RB,17,2007,2012
Brandon Jacobs\JacoBr00,RB,41,2005,2013
Brandon Miree\MireBr00,RB,0,2006,2006
Brandon Saine\SainBr00,RB,1,2011,2012
Brandon Wegher\WeghBr00,RB,0,2015,2015
Brandon Wilds\WildBr01,RB,0,2016,2018
Brendan McCarthy\McCaBr00,RB,3,1968,1969
Brent Fullwood\FullBr00,RB,14,1987,1990
Brent McClanahan\McClBr00,RB,19,1973,1979
Brent Moss\MossBr20,RB,0,1995,1995
Brett Wilson\WilsBr21,RB,0,1987,1987
Brian Allen\AlleBr20,RB,0,2003,2003
Brian Calhoun\CalhBr00,RB,1,2006,2007
Brian Duncan\DuncBr00,RB,1,1976,1978
Brian Henesey\HeneBr20,RB,0,1994,1994
Brian Hill\HillBr02,RB,5,2017,2019
Brian Lattimore\LattBr20,RB,0,1991,1991
Brian Leonard\LeonBr00,RB,12,2007,2014
Brian Milne\MilnBr00,RB,3,1996,2000
Brian Mitchell\MitcBr00,RB,49,1990,2003
Brian Piccolo\PiccBr00,RB,14,1966,1969
Brian Satterfield\SattBr20,RB,0,1996,1996
Brian Westbrook\WestBr00,RB,80,2002,2010
Brock Bolen\BoleBr00,RB,0,2009,2011
Brock Forsey\ForsBr00,RB,2,2003,2004
Brock Olivo\OlivBr00,RB,1,1998,2001
Broderick Sargent\SargBr00,RB,2,1986,1989
Bronson Hill\HillBr01,RB,0,2016,2017
Bruce Hansen\HansBr21,RB,1,1987,1987
Bruce King\KingBr00,RB,1,1985,1987
Bruce Maxwell\MaxwBr00,RB,0,1970,1970
